Time Step,Ellapsed Time (days),River (part a),GHB (part b),Drain (part c),E-T (part d),Constant head (part e)
1,1.955,8.51,8.51,8.51,8.51,8.51
2,4.301,7.54,7.54,7.54,7.54,7.54
3,70117,6.716,6.716,6.716,6.716,6.716
4,10.495,5.926,5.926,5.926,5.926,5.926
5,14.549,5.129,5.129,5.129,5.129,5.129
6,19.414,4.313,4.313,4.313,4.313,4.313
7,25.252,3.481,3.481,3.481,3.481,3.481
8,32.258,2.643,2.643,2.643,2.643,2.643
9,40.655,1.816,1.816,1.816,1.816,1.816
10,50.753,1.023,1.023,1.023,1.023,1.023
11,62.858,0.286,0.286,0.286,0.286,0.286
12,77.385,-0.371,-0.371,-0.495,-0.495,-0.37
13,94.817,-0.93,-0.93,-1.44,-1.44,-0.93
14,115.74,-1.382,-1.382,-2.54,-2.54,-1.382
15,140.84,-1.727,-1.727,-3.843,-3.843,-1.727
16,170.96,-1.972,-1.972,-5.399,-5.399,-1.972
17,207.11,-2.175,-2.133,-7.264,-7.264,-2.133
18,250.49,-2.337,-2.231,-9.505,-9.505,-2.231
19,302.54,-2.448,-2.285,-12.2,-12.2,-2.285
20,365,-2.52,-2.311,-15.43,-15.43,-2.31
