Time Step,Elapsed Time (days),River (part a),GHB (part b),Drain (part c),E-T (part d),Constant head (part e)
1,1.955,-1702.071,-1702.071,-1702.071,-1702.071,-1702.071
2,4.301,-1507.91,-1507.91,-1507.91,-1507.91,-1507.91
3,7.117,-1343.224,-1343.224,-1343.224,-1343.224,-1343.224
4,10.495,-1185.109,-1185.109,-1185.109,-1185.109,-1185.109
5,14.549,-1025.712,-1025.712,-1025.712,-1025.712,-1025.712
6,19.414,-862.6,-862.6,-862.6,-862.6,-862.6
7,25.252,-696.128,-696.128,-696.128,-696.128,-696.128
8,32.258,-528.506,-528.506,-528.506,-528.506,-528.506
9,40.655,-363.187,-363.187,-363.187,-363.187,-363.187
10,50.753,-204.534,-204.534,-204.534,-204.534,-204.534
11,62.858,-57.278,-57.278,-57.278,-57.278,-57.278
12,77.385,74.103,74.103,0,0,74.008
13,94.817,186.031,186.031,0,0,186.017
14,115.74,276.494,276.494,0,0,276.478
15,140.84,345.353,345.353,0,0,345.343
16,170.96,394.344,394.344,0,0,394.331
17,207.11,400,426.648,0,0,426.631
18,250.49,400,446.221,0,0,446.21
19,302.54,400,457.037,0,0,457.025
20,365,400,462.149,0,0,462.099
