Time step number,Time (days),Analytical (Aquifer top at -1),MODFLOW (Aquifer top at -1),Analytical (Aquifer top at -2),MODFLOW (Aquifer top at -2),Confined (S=0.0001),Unconfined(S=0.1)
1,0.0072,0.02,0.03,0.04,0.06,0.16,0
2,0.0173,0.09,0.09,0.17,0.16,0.47,0
3,0.0317,0.16,0.16,0.3,0.28,0.84,0
4,0.052,0.23,0.22,0.42,0.41,1.22,0
5,0.0806,0.29,0.29,0.55,0.53,1.61,0
6,0.1212,0.36,0.36,0.66,0.65,1.98,0
7,0.1785,0.42,0.42,0.78,0.78,2.36,0
8,0.2596,0.48,0.49,0.9,0.89,2.72,0
9,0.3743,0.55,0.55,1.01,1.01,3.08,0
10,0.5364,0.61,0.62,1.13,1.13,3.43,0
11,0.7657,0.67,0.68,1.24,1.24,3.78,0
12,1.09,0.73,0.74,1.35,1.36,4.14,0
13,1.548,0.79,0.8,1.46,1.47,4.5,0
14,2.196,0.85,0.86,1.58,1.6,4.85,0.01
15,3.113,0.91,0.93,1.69,1.7,5.2,0.02
16,4.409,,1,1.8,1.83,5.55,0.05
17,6.241,1.03,1.05,,1.93,5.9,0.11
18,8.832,1.13,0.14,2.02,2.05,6.26,0.2
19,12.5,1.27,1.27,2.17,2.18,6.61,0.33
20,17.68,1.46,1.44,2.35,2.35,6.96,0.5
21,25,1.68,1.65,2.57,2.57,7.37,0.71
22,35.36,1.93,1.9,2.83,2.83,7.72,0.96
23,50.01,2.21,2.17,3.1,3.1,8.07,1.23
24,70.72,2.51,2.46,3.4,3.4,8.42,1.52
25,100,2.82,2.77,3.71,3.71,8.79,1.83
