Grid,Size,Grid Spacing,Pumping Well,Well 1,Well 2,Well 3
1,4*4,"2500 row, column 1","3,2","2,2","2,3","3,3"
,,"500 row, column 2,3",,,,
,,"2500 row, column 4",,,,
2,7*7,"1750 row, column 1","5,3","3,3","3,5","5,5"
,,"2000 row, column 2",,,,
,,"2500 row, column 3-5",,,,
,,"1750 row, column 7",,,,
3,10*10,"1250 row, column 1","7,4","4,4","4,7","7,7"
,,"1666.7 row, column 2-9",,,,
,,"1250 row, colum 10",,,,
4,16*16,"500 row, column 1","11,6","6,6","6,11","11,11"
,,"1000 row, column 2-15",,,,
,,"500 row, column 16",,,,
5,30*30,"416.7 row, column 1-6","20,11","11,11","11,20","20,20"
,,"555.6 row, column 7-24",,,,
,,"416.7 row, column 25-30",,,,
